Timestamp,Packets In,Packets Out
1460945122,,
1460945182,,
1460945242,,
1460945288,1056.8820839266725,1058.236117805082
1460945648,11.431535499852588,11.443884777964405
1460945888,22.2375726596194,22.238737559654968
1460946248,2467.496770080953,2521.777514850128
1460946488,2368.6130806192423,2287.1845900632347
1460946848,1126.7835861484766,1036.2200233823069
1460947088,1710.0138664263177,2414.6902165241177
1460947448,720.0247054826765,661.2854043849254
1460947718,968.6429038473715,960.1775015176028
1460948078,3171.9166719078917,3524.774736331709
1460948318,2915.1920414747465,2613.980754980952
1460948678,2131.6221609738623,1301.911447029467
1460948918,11.990914652540988,11.9697694430771
1460949278,1068.6668059172418,757.5774827485797
1460949518,127.13315699022988,121.77198500019482
1460949878,1278.673135136072,990.7300083965197
1460950118,521.3239313242724,308.4593376942244
1460950478,1534.9619164916728,1591.220496883473
1460950718,1193.0423541982395,1222.179741781669
1460951078,694.2942203645244,278.63756976593436
1460951318,1402.5728820827323,1216.0145579628331
1460951678,623.8479665603957,558.9391287275714
1460951918,962.3033317232247,988.7869369661975
1460952278,1904.0271489467887,2353.366551532592
1460952518,1064.3663040127917,1346.997252082094
1460952878,268.99938813244313,336.64970058527985
1460953118,7.6929699343415425,6.8767466399205714
1460953478,618.4611453639435,444.1350039553125
1460953718,9.59488437415053,9.323924991234582
1460954078,157.70036594118213,144.39177997746617
1460954318,7.434953570786274,6.915819501514679
1460954678,34.860707224056284,13.12384041816856
1460954918,247.2333961003976,250.22726104458945
1460955278,2755.8092589425423,2608.7792717122466
1460955518,1550.3549409255802,1549.6602547965028
1460955878,2716.687331406568,2376.670723742383
1460956118,4015.7325101317824,3899.7107762287164
1460956478,2346.673835886774,3183.702336139807
1460956718,282.7279156239423,270.2991053227158
1460957078,1179.1900142481318,1713.42083852193
1460957318,1436.3152385458104,1232.825978563428
1460957678,674.3154136077078,672.664752553947
1460957918,16.654568250455096,16.670751094492612
1460958278,3361.00429241207,3361.980459767714
1460958518,4593.009576191506,4448.558561208874
1460958878,100.49928017371309,100.58696213086208
1460959118,5.166124047786425,5.157658905230298
1460959178,,
1460959238,,
1460959298,,
1460959358,,
1460959418,,
1460959478,,
