Timestamp,CPU utilization (%)
1460945132,
1460945192,
1460945252,
1460945288,53.96544416889498
1460945648,61.96600369866707
1460945888,63.64272155060446
1460946248,78.18442561972215
1460946488,13.74810218942238
1460946848,56.59592598843584
1460947088,22.909852729070277
1460947448,18.28773676520719
1460947718,15.798191401079368
1460948078,32.09071098093373
1460948318,32.605878272175794
1460948678,19.748286740441714
1460948918,63.49433324874494
1460949278,84.78335354167483
1460949518,21.09792474295644
1460949878,47.29050981675195
1460950118,55.32400833465968
1460950478,49.448944727059654
1460950718,23.612462018570834
1460951078,17.873675849533953
1460951318,11.880672302669419
1460951678,26.435569708242785
1460951918,39.19776187945975
1460952278,80.47256236546777
1460952518,19.58856952232983
1460952878,32.75790264892489
1460953118,33.207903478617965
1460953478,31.523541972090026
1460953718,48.548837695368285
1460954078,28.092980276846095
1460954318,25.303215356918717
1460954678,31.480189342408043
1460954918,17.97268430128997
1460955278,21.033660537874933
1460955518,16.996986073581375
1460955878,34.59558814690974
1460956118,30.439362294485505
1460956478,25.89642781996142
1460956718,14.93910233339704
1460957078,23.139191027560543
1460957318,28.147879995559688
1460957678,29.25349977377246
1460957918,14.577227370242687
1460958278,29.125808580858088
1460958518,26.614073500801172
1460958878,20.36652213996404
1460959118,27.622082974462327
1460959178,
1460959238,
1460959298,
1460959358,
1460959418,
1460959478,
