Timestamp,Total Allocatable CPU Utilized across NodeManager (%)
1460945114,
1460945149,13.88888888888889
1460945324,11.11111111111111
1460945684,12.676056338028168
1460945983,6.779661016949152
1460946284,11.666666666666666
1460946584,11.666666666666666
1460946883,10
1460947183,13.333333333333334
1460947544,13.88888888888889
1460947843,13.333333333333334
1460948083,12.5
1460948443,16.666666666666664
1460948743,13.333333333333334
1460949043,16.666666666666664
1460949283,16.666666666666664
1460949583,13.333333333333334
1460949883,16.666666666666664
1460950243,15.492957746478872
1460950483,16.666666666666664
1460950844,16.666666666666664
1460951144,13.333333333333334
1460951384,8.51063829787234
1460951623,12.5
1460951984,13.88888888888889
1460952284,15
1460952644,13.88888888888889
1460952944,13.333333333333334
1460953183,16.666666666666664
1460953424,12.5
1460953783,13.88888888888889
1460954083,13.333333333333334
1460954383,10
1460954743,16.666666666666664
1460955043,11.666666666666666
1460955223,16.666666666666664
1460955643,13.253012048192769
1460955943,13.559322033898308
1460956183,14.583333333333334
1460956543,16.666666666666664
1460956783,12.5
1460957024,16.666666666666664
1460957443,14.285714285714285
1460957684,16.666666666666664
1460958044,12.5
1460958343,16.666666666666664
1460958643,15
1460958944,13.333333333333334
1460959243,16.666666666666664
1460959303,
1460959363,
1460959423,
1460959483,
