Timestamp,Read throughput (Mbps),Write throughput (Mbps)
1460945048,22.69919241551872,64.88369643783132
1460945288,17.528931434708714,24.505002663315217
1460945648,28.05580424817218,20.690243409779256
1460945888,38.81071273865443,28.205934864725947
1460946248,23.384646260074096,83.94310401590185
1460946488,18.445894013659625,52.15021775659574
1460946848,29.73546465235154,52.48668017324883
1460947088,14.411395008177472,44.011042851633626
1460947448,47.59144643780116,42.61753886010393
1460947718,75.99795393383187,78.5608779283096
1460948078,46.27560767416193,67.91722976069155
1460948318,6.584702255954163,62.68215281062745
1460948678,24.80633766381068,53.74253594863656
1460948918,37.90568757375452,19.135644576793275
1460949278,35.76914470318254,48.9760380827252
1460949518,38.48167389145325,45.905231017130355
1460949878,15.237429311296442,67.64538797477842
1460950118,9.583455394384762,21.86974850813852
1460950478,15.798959731749482,47.39196247709957
1460950718,35.4228992268081,40.31856744894139
1460951078,62.04123632215834,59.60598558606895
1460951318,68.00553725326385,112.18472703971577
1460951678,32.95179463558181,35.399765508131225
1460951918,15.168087410742691,37.28104563973769
1460952278,46.00318397230812,69.06842375319366
1460952518,14.418797130655177,12.1284703017098
1460952878,23.803018653469692,19.94984411589133
1460953118,8.77766731790575,28.660693723050034
1460953478,19.803992553386696,39.10826313810606
1460953718,4.0095491779225325,8.871460306567881
1460954078,25.711151316738466,21.694006654180903
1460954318,19.92593408591475,24.20168225065629
1460954678,24.07238451269532,21.009501394031247
1460954918,25.302583995858388,49.77818751449308
1460955278,43.79824010921385,83.60248537596883
1460955518,37.05920546724938,45.37652459519033
1460955878,28.350151210007088,56.682704888975955
1460956118,25.788336518708892,49.068193497977006
1460956478,43.59439162500556,52.12252878706539
1460956718,42.26877498727015,39.03664299235274
1460956778,,
1460956838,,
1460956898,,
1460956958,,
1460957018,,
1460957078,,
1460957138,,
1460957198,,
1460957258,,
1460957318,,
1460957378,,
1460957438,,
1460957498,,
1460957558,,
1460957618,,
1460957678,,
1460957738,,
1460957798,,
1460957858,,
1460957918,,
1460957978,,
1460958038,,
1460958098,,
1460958158,,
1460958218,,
1460958278,,
1460958338,,
1460958398,,
1460958458,,
1460958518,,
1460958578,,
1460958638,,
1460958698,,
1460958758,,
1460958818,,
1460958878,,
1460958938,,
1460958998,,
1460959058,,
1460959118,,
1460959178,,
1460959238,,
1460959298,,
1460959358,,
1460959418,,
1460959478,,
