1,1048576,87619
1,2097152,79742
1,3145728,87750
1,4194304,89430
1,5242880,102360
1,6291456,93959
1,7340032,87625
1,8388608,95476
1,9437184,99934
1,10485760,113376
1,11534336,123141
1,12582912,118078
1,13631488,126073
1,14680064,122698
1,15728640,129258
1,16777216,176174
1,17825792,554494
1,18874368,457250
1,19922944,241152
1,20971520,186471
1,22020096,279235
1,23068672,312818
1,24117248,180140
1,25165824,267669
1,26214400,181740
1,27262976,220706
1,28311552,181480
1,29360128,179962
1,30408704,182183
1,31457280,200765
1,32505856,278408
1,33554432,326915
1,34603008,352698
1,35651584,246407
1,36700160,243359
1,37748736,236602
1,38797312,237592
1,39845888,237127
1,40894464,322705
1,41943040,357957
1,42991616,313567
1,44040192,343605
1,45088768,291050
1,46137344,331918
1,47185920,373315
1,48234496,272459
1,49283072,311545
1,50331648,279092
1,51380224,362054
1,52428800,265718
1,53477376,384458
1,54525952,278160
1,55574528,373647
1,56623104,275738
1,57671680,273446
1,58720256,269371
1,59768832,374384
1,60817408,310271
1,61865984,406796
1,62914560,441514
1,63963136,336707
1,65011712,318703
1,66060288,423704
1,67108864,337421
