Timestamp,Container Failures
1461736500,
1461736507,0
1461736537,0
1461736567,100
1461736597,25
1461736657,100
1461736687,16.666666666666664
1461736717,0
1461736747,50
1461736777,33.33333333333333
1461736807,0
1461736837,100
1461736867,16.666666666666664
1461736897,50
1461736927,50
1461736957,0
1461736987,50
1461737017,25
1461737047,0
1461737077,100
1461737107,25
1461737137,0
1461737167,33.33333333333333
1461737197,20
1461737227,0
1461737257,50
1461737287,33.33333333333333
1461737317,0
1461737347,100
1461737377,16.666666666666664
1461737407,0
1461737437,25
1461737497,0
1461737527,100
1461737557,25
1461737587,0
1461737617,100
1461737647,16.666666666666664
1461737677,50
1461737707,50
1461737737,0
1461737767,50
1461737797,25
1461737827,0
1461737857,0
1461737887,100
1461737917,25
1461737977,20
1461738007,0
1461738037,50
1461738067,100
1461738097,0
1461738127,0
1461738157,16.666666666666664
1461738187,33.33333333333333
1461738217,50
1461738247,33.33333333333333
1461738277,0
1461738307,33.33333333333333
1461738337,20
1461738367,0
1461738397,50
1461738427,100
1461738457,0
1461738487,50
1461738517,25
1461738547,0
1461738577,100
1461738607,16.666666666666664
1461738637,0
1461738667,50
1461738697,33.33333333333333
1461738727,0
1461738757,100
1461738787,16.666666666666664
1461738817,0
1461738847,50
1461738877,20
1461738907,0
1461738937,50
1461738967,33.33333333333333
1461738997,0
1461739027,0
1461739057,33.33333333333333
1461739087,16.666666666666664
1461739117,100
1461739147,50
1461739177,0
1461739207,0
1461739237,16.666666666666664
1461739267,33.33333333333333
1461739297,50
1461739327,33.33333333333333
1461739357,0
1461739387,0
1461739417,100
1461739447,16.666666666666664
1461739477,0
1461739537,20
1461739567,0
1461739597,50
1461739627,20
1461739657,0
1461739687,50
1461739717,20
1461739747,0
1461739777,50
1461739807,33.33333333333333
1461739837,0
1461739867,100
1461739897,16.666666666666664
1461739927,0
1461739957,50
1461739987,33.33333333333333
1461740017,0
1461740047,100
1461740077,16.666666666666664
1461740107,0
1461740137,50
1461740167,100
1461740197,0
1461740227,0
1461740257,50
1461740287,20
1461740317,0
1461740347,0
1461740377,100
1461740407,16.666666666666664
1461740437,0
1461740467,50
1461740497,33.33333333333333
1461740527,0
1461740557,100
1461740587,25
1461740617,0
1461740647,100
1461740677,25
1461740737,100
1461740767,25
1461740797,0
1461740827,0
1461740857,33.33333333333333
1461740887,25
1461740917,0
1461740947,100
1461740977,25
1461741007,0
1461741037,100
1461741067,25
1461741097,0
1461741127,100
1461741157,25
1461741187,0
1461741217,100
1461741247,25
1461741277,0
1461741307,33.33333333333333
1461741337,20
1461741367,0
1461741397,50
1461741427,100
1461741457,0
1461741487,0
1461741517,50
1461741577,0
1461741607,100
1461741637,16.666666666666664
1461741667,0
1461741697,50
1461741727,33.33333333333333
1461741757,0
1461741787,33.33333333333333
1461741817,100
1461741847,0
1461741877,50
1461741937,0
1461741967,0
1461741997,50
1461742027,20
1461742057,0
1461742087,50
1461742117,20
1461742147,0
1461742177,50
1461742207,20
1461742237,0
1461742267,50
1461742297,33.33333333333333
1461742327,0
1461742357,100
1461742387,50
1461742417,0
1461742447,0
1461742477,0
