Timestamp,Memory utilization (%)
1461830400,
1461830460,
1461830493,68.75620536324587
1461830823,62.985920376960046
1461831063,63.41810556305204
1461831453,66.10896449593317
1461831693,63.13666262644868
1461832053,62.6764870218383
1461832293,64.99470258278222
1461832653,59.684858926649696
1461832893,67.24868504564503
1461833253,60.88850903440761
1461833493,66.79357319793971
1461833853,65.78678673414348
1461834063,70.82375912648466
1461834423,66.5481565184831
1461834663,69.2149272870563
1461835023,66.8268733146071
1461835263,66.47053330817349
1461835623,66.83394461899074
1461835863,63.18184081401957
1461836223,61.7616660313528
1461837259,62.79952340495885
1461837499,63.64386412606569
1461837859,65.87773751084691
1461838099,63.43548640408208
1461838459,66.9160275009076
1461838699,60.14755379986562
1461839059,61.30328246499628
1461839299,54.3430550755831
1461839359,
