Timestamp,CPU utilization (%)
1461830400,
1461830460,
1461830493,71.93635130977748
1461830823,60.572594701685624
1461831063,91.15859306309659
1461831453,68.88760486806204
1461831693,63.325455817125786
1461832053,68.31634904799544
1461832293,29.833263638048322
1461832653,60.28077186066909
1461832893,70.48466667504528
1461833253,55.13118381915527
1461833493,65.52746116135684
1461833853,61.51979905277035
1461834063,59.14697291405599
1461834423,72.41713006194041
1461834663,15.84525940089749
1461835023,73.79842020362778
1461835263,68.26516071284978
1461835623,75.80144566802068
1461835863,66.10515241361406
1461836223,68.79013461351377
1461837499,70.82429971381494
1461837859,75.14176887854963
1461838099,71.53220980790643
1461838459,74.35780704506465
1461838699,19.076391226661837
1461839059,70.35760115682625
1461839299,67.6512215162374
1461839359,
