Timestamp,Read throughput (Mbps),Write throughput (Mbps)
1461830400,,
1461830460,,
1461830493,52.22855606458304,107.73998196026379
1461830823,57.02677444902822,72.7413290953086
1461831063,17.16090237829581,51.98407950624028
1461831453,59.002473934238616,168.05775142709874
1461831693,62.37408744921453,166.2179352025983
1461832053,90.81677422091946,178.2148571778922
1461832293,73.48974940522163,157.80160850801113
1461832653,52.5545046107157,105.0395227544175
1461832893,46.71087266688856,86.0196289897861
1461833253,47.61142035086796,88.74509523995594
1461833493,45.1632524380543,86.59079586616613
1461833853,46.15080818391673,104.40902835316224
1461834063,25.459982317239714,46.30964948102634
1461834423,64.7743236523322,159.79158743661858
1461834663,30.35190833614946,98.93822869692107
1461835023,68.98856470483862,204.3125852155351
1461835263,30.96510411368451,100.36899514709366
1461835623,39.7787972173927,134.19969940219266
1461835863,64.43958544973117,146.3009625541734
1461836223,51.00778421677569,84.09007330399746
1461837259,41.79189314914909,143.04940816327783
1461837499,53.616241662393385,137.81191142272166
1461837859,37.777527204898696,221.1259220979278
1461838099,26.40732981745458,153.87334489717338
1461838459,57.09950212311715,305.92407576288866
1461838699,52.05834806704035,150.84124178987298
1461839059,59.99757846234962,263.47909204942675
1461839299,16.764359628406005,37.038072592127556
1461839359,,
