Timestamp,Packets In,Packets Out
1461830400,,
1461830460,,
1461830493,3041.3337030522816,3192.0314918467043
1461830823,738.7690045462635,1002.4745833601391
1461831063,2071.7991156028,2953.1672839583116
1461831453,2565.801296658963,2551.2416163110615
1461831693,2668.954410411077,2951.825207750119
1461832053,2634.8737470705355,2636.660730499184
1461832293,1981.0831589539646,1737.0525750003499
1461832653,1587.381845894737,2365.6763986693554
1461832893,1210.2072767680322,1480.7108880125254
1461833253,2624.262904728552,2421.0566627858457
1461833493,2669.934014391342,1787.2341404694491
1461833853,1397.7597422574024,1777.0166225334838
1461834063,64.45734933439272,327.5388329287669
1461834423,2176.4695152494355,1970.6843691774545
1461834663,1348.22391431487,1964.4222824481003
1461835023,2972.1509792121046,3155.351959914561
1461835263,1660.5931669317438,1686.3198859163037
1461835623,3413.501981002795,1839.5434871432503
1461835863,3573.311346389084,3970.5952132796
1461836223,678.5442177163302,248.64442912024205
1461837259,1046.152686609684,1722.4629023081604
1461837499,2315.7873832674436,2277.462062216318
1461837859,3370.7453802252007,3738.0745771898496
1461838099,5524.527075627758,5844.137865850721
1461838459,2283.7893874704864,2986.1608150272027
1461838699,3917.023756191149,2942.3432429596123
1461839059,3951.14933298573,4844.703369131507
1461839299,885.832871533899,717.2317528666046
1461839359,,
