Timestamp,15 Minute Load,5 Minute Load,1 Minute Load
1461830400,0,0,0
1461830460,0,0,0
1461830520,0,0,0
1461830579,1.6574468085106384,1.4974468085106383,1.714468085106383
1461830891,3.252333333333333,5.401666666666667,8.140166666666666
1461831191,3.7379999999999995,5.048,4.5455000000000005
1461831516,3.849538461538462,4.393230769230769,3.6007692307692305
1461831817,3.4870000000000005,3.189166666666667,2.464166666666667
1461832117,3.2906666666666666,2.966333333333333,3.0188333333333333
1461832418,3.1921666666666666,2.919166666666667,2.713166666666667
1461832724,3.2603278688524595,3.3275409836065575,4.015901639344262
1461833033,3.454310344827586,3.686379310344828,3.5917241379310343
1461833341,3.898387096774193,4.608225806451613,5.542096774193548
1461833642,4.024166666666667,4.375,3.8495
1461833885,4.303469387755102,4.975102040816327,6.61469387755102
1461834186,5.062166666666667,6.2925,6.531499999999999
1461834486,4.6625,4.453833333333334,2.595166666666667
1461834787,3.9791666666666665,3.0356666666666667,2.4165
1461835088,3.5536666666666665,2.6375,2.306166666666667
1461835389,3.2506666666666666,2.5516666666666667,2.6935000000000002
1461835697,3.2954838709677423,3.120967741935484,3.46725806451613
1461836000,3.1880327868852465,2.9555737704918035,2.668196721311475
1461836308,3.3044262295081968,3.458360655737705,4.359016393442624
1461837329,5.201960784313726,5.875098039215686,4.967843137254902
1461837630,4.694999999999999,4.2444999999999995,2.9578333333333338
1461837930,4.309333333333333,3.6521666666666666,3.2811666666666666
1461838230,3.786833333333333,2.8558333333333334,2.377666666666667
1461838531,3.455,2.6875,2.6043333333333334
1461838832,3.2135000000000002,2.612666666666667,2.542666666666667
1461839133,2.9604918032786887,2.4027868852459013,2.236885245901639
1461839193,0,0,0
1461839253,0,0,0
1461839313,0,0,0
1461839373,0,0,0
